FIPS,State,County,obesity_rate,median_household_income,physical_inactivity_rate,population_over_65,uninsured_adults_pct,rural_pct,children_in_poverty_pct,pcp_rate,insured_coverage_pct,health_insurance_coverage,urban_rural,poverty_level,diabetes_rate
51735.0,Virginia,Poquoson City,33.2,108161.0,16.9,19.580530273,5.6634746922,8.8844301766,6.6,79.52919,94.3365253078,High,Urban,Low Poverty,9.0
51740.0,Virginia,Portsmouth City,45.2,57012.0,26.5,15.595136012,8.2832354745,0.0,25.0,60.30253,91.7167645255,High,Urban,High Poverty,15.0
51750.0,Virginia,Radford City,38.1,47325.0,23.3,9.7519297625,6.4417490572,4.1941505912,17.9,54.54876,93.5582509428,High,Urban,Medium Poverty,14.0
51760.0,Virginia,Richmond City,35.8,64903.0,23.9,14.522763657,9.660577981,0.0,27.5,105.91163,90.339422019,Medium,Urban,High Poverty,14.0
51770.0,Virginia,Roanoke City,36.4,51782.0,26.8,18.214282039,10.062510853,0.00399956,26.3,110.25135,89.93748914700001,Low,Urban,High Poverty,13.0
51775.0,Virginia,Salem City,35.2,63701.0,20.6,20.1953125,6.3677898344,0.0,12.9,137.94191,93.6322101656,High,Urban,Low Poverty,10.0
51790.0,Virginia,Staunton City,39.9,59926.0,23.9,21.454755933,8.2578114433,2.1436893204,16.5,46.76357,91.7421885567,High,Urban,Medium Poverty,11.0
51800.0,Virginia,Suffolk City,41.5,81297.0,22.6,15.596220904,7.1978301407,27.055680421,14.9,76.92787,92.8021698593,High,Urban,Medium Poverty,12.0
51810.0,Virginia,Virginia Beach City,32.9,90275.0,17.9,16.512986913,8.4153458832,1.8146995451,11.2,71.23004999999999,91.5846541168,Medium,Urban,Low Poverty,11.0
51820.0,Virginia,Waynesboro City,38.1,56438.0,23.3,18.384953843,10.119979134,2.3517750946,19.0,84.25721,89.880020866,Low,Urban,Medium Poverty,11.0
51830.0,Virginia,Williamsburg City,37.7,70270.0,21.6,16.823373509,8.704915538,0.1166936791,20.6,12.828739999999998,91.295084462,Medium,Urban,Medium Poverty,11.0
51840.0,Virginia,Winchester City,37.9,63514.0,24.1,17.413187529,12.37510085,0.0,21.9,255.89991000000003,87.62489915,Low,Urban,High Poverty,13.0
